"","Temperatura.Media..C.","Temperatura.Minima..C.","Temperatura.Maxima..C.","Precipitacao..mm.","beer"
"1",27.3,23.9,32.5,0,25.461
"2",27.02,24.5,33.5,0,28.972
"3",24.82,22.4,29.9,0,30.814
"4",23.98,21.5,28.6,1.2,29.799
"5",23.82,21,28.3,0,28.9
"6",23.78,20.1,30.5,12.2,28.218
"7",24,19.5,33.7,0,29.732
"8",24.9,19.5,32.8,48.6,28.397
"9",28.2,21.9,34,4.4,24.886
"10",26.76,22.1,34.2,0,37.937
"11",27.62,22.2,34.8,3.4,36.254
"12",25.96,21.4,35.4,0,25.743
"13",25.52,21.2,34.8,0.8,26.99
"14",25.96,21.3,34,1.6,31.825
"15",25.86,21.5,32.8,3,25.724
"16",26.5,22.3,32.7,2,29.938
"17",28.86,22,35.8,0,37.69
"18",28.26,23.4,35.6,0,30.524
"19",28.22,22.7,36.5,3.7,29.265
"20",27.68,23.3,35.6,0.6,35.127
"21",25.32,22.7,30.9,0,29.13
"22",21.74,19.2,26.1,31,25.795
"23",21.04,18.5,26.1,3.6,21.784
"24",23.12,19,29.4,13,28.348
"25",24.4,18.1,30,0,31.088
"26",22.4,18.9,28.7,20.8,21.52
"27",23.6,20.5,28.7,1.2,29.972
"28",25.68,20.1,29.9,4.9,22.603
"29",25,21.5,29.2,0,22.696
"30",22.8,20.9,26.9,0,26.845
"31",21.64,18.5,24.3,0.2,27.03
"32",24.16,20.6,28,0,32.057
"33",22.48,20.7,26.5,4.5,24.097
"34",23.16,18,31.1,1.6,31.655
"35",22.12,19.9,23.7,3.2,24.738
"36",20.28,19.1,22.9,5.6,19.95
"37",21.06,17.9,25.4,18.4,22.821
"38",21.86,17.3,28.7,16.7,28.893
"39",22.76,17.1,29.5,10.4,29.926
"40",24,19.3,30.7,0,24.062
"41",23.92,20.1,29,32.2,21.137
"42",25.38,19.9,30.4,2.2,26.805
"43",27.66,23.1,32.7,0,26.389
"44",25.54,22.5,32.1,0,24.219
"45",24.32,21.1,31.6,0,30.231
